14.11      |       1
14.12      |       1
14.15      |       1
14.16      |       2
14.17      |       1
14.23      |       3
14.24      |       2
14.25      |       2
14.28      |       1
14.3       |       2
14.31      |       1
14.33      |       1
14.35      |       2
14.36      |       6
14.37      |       1
14.38      |       5
14.39      |       1
14.4       |       1
14.42      |       1
14.44      |       1
14.46      |       3
14.48      |       3
14.5       |       3
14.51      |       3
14.53      |       2
14.54      |       2
14.55      |       4
14.56      |       1
14.6       |       1
14.68      |       1
14.69      |       1
