-475.00    |       1
-400.00    |       1
-398.00    |       1
-388.00    |       1
-386.00    |       1
-371.00    |       1
-363.00    |       1
-362.00    |       1
-361.00    |       1
-358.00    |       1
-350.00    |       2
-345.00    |       1
-343.00    |       1
-340.00    |       1
-329.00    |       3
-322.00    |       1
-320.00    |       1
-305.00    |       2
-300.00    |       1
-299.00    |       1
-285.00    |       1
-272.00    |       1
-266.00    |       1
-240.00    |       1
-236.00    |       1
-234.00    |       1
-233.00    |       1
-203.00    |       2
-201.00    |       1
-192.00    |       1
-160.00    |       1
-158.00    |       2
-115.00    |       2
-111.00    |       2
-105.00    |       3
-90.00     |       2
-85.00     |       1
-80.00     |       1
-70.00     |       1
-67.00     |       1
-46.00     |       2
-35.00     |       1
-32.00     |       1
5.00       |       1
10.00      |       1
29.00      |       2
40.00      |       2
45.00      |       1
52.00      |       1
58.00      |       1
60.00      |       1
70.00      |       1
73.00      |       1
76.00      |       1
77.00      |       1
95.00      |       1
98.00      |       2
182.00     |       1
260.00     |       1
275.00     |       1
280.00     |       1
