13.95      |       1
14.14      |       2
14.18      |       1
14.2       |       1
14.24      |       2
14.28      |       4
14.29      |       1
14.3       |       1
14.31      |       1
14.32      |       1
14.33      |       1
14.34      |       1
14.35      |       3
14.36      |       2
14.37      |       1
14.38      |       2
14.41      |       1
14.42      |       2
14.43      |       3
14.46      |       2
14.47      |       3
14.48      |       3
14.49      |       1
14.5       |       2
14.51      |       1
14.54      |       3
14.56      |       3
14.58      |       2
14.6       |       1
14.64      |       2
14.66      |       2
14.69      |       1
14.7       |       1
14.72      |       1
14.73      |       1
