50.0         |       1
82.0         |       1
90.0         |       2
170.0        |       2
180.0        |       2
190.0        |       1
220.0        |       1
225.0        |       1
240.0        |       1
280.0        |       1
300.0        |       9
310.0        |       1
315.0        |       2
320.0        |       4
330.0        |       2
340.0        |       4
360.0        |       7
370.0        |       1
380.0        |       1
385.0        |       1
390.0        |       3
400.0        |       3
405.0        |       2
410.0        |       1
415.0        |       1
420.0        |       8
430.0        |       3
435.0        |       2
440.0        |       3
450.0        |      11
460.0        |       1
470.0        |       1
480.0        |       4
500.0        |       4
510.0        |       1
515.0        |       2
530.0        |       1
540.0        |       8
550.0        |       2
560.0        |       3
580.0        |       2
590.0        |       3
600.0        |       3
